alert_date,ticker,name,group,grade,rank,setup_score,risk_score,signals,regime,alert_close,ret1_future_pct,ret5_future_pct,ret20_future_pct,status,watch_type,layer,action_label,feedback_score,feedback_label,add_price,trim_price,stop_price,scenario_label
2026-04-11,3450.TW,聯鈞,theme,A,1.0,14.0,4.0,"TREND,ACCEL",轉強速度有出來,306.5,,,,OPEN,,,,,,,,,b''
2026-04-11,2465.TW,麗臺,theme,A,2.0,13.0,0.0,"TREND,ACCEL,PULLBACK",轉強速度有出來,59.8,,,,OPEN,,,,,,,,,b''
2026-04-11,2382.TW,廣達,theme,A,3.0,13.0,3.0,"TREND,ACCEL",轉強速度有出來,321.5,,,,OPEN,,,,,,,,,b''
2026-04-13,2388.TW,威盛,theme,B,1.0,13.0,0.0,TREND,中段延續中,55.6,1.81,19.49,,OPEN,,,,,,,,,b''
2026-04-13,5386.TWO,青雲,theme,B,2.0,12.0,2.0,"TREND,PULLBACK",中段延續中,338.0,6.67,0.76,,OPEN,,,,,,,,,b''
2026-04-13,2495.TW,普安,theme,B,3.0,12.0,4.0,TREND,中段延續中,38.35,1.78,7.74,,OPEN,,,,,,,,,b''
2026-04-13,2465.TW,麗臺,theme,A,1.0,13.0,3.0,"TREND,ACCEL",轉強速度有出來,61.7,1.3,7.62,,OPEN,,,,,,,,,b''
2026-04-13,3057.TW,喬鼎,theme,A,2.0,13.0,0.0,"ACCEL,PULLBACK",轉強速度有出來,17.3,2.31,6.94,,OPEN,,,,,,,,,b''
2026-04-13,3450.TW,聯鈞,theme,B,3.0,12.0,3.0,TREND,中段延續中,309.5,2.91,23.75,,OPEN,,,,,,,,,b''
2026-04-14,2388.TW,威盛,theme,B,1.0,13.0,0.0,TREND,中段延續中,56.8,5.63,28.17,,OPEN,short,short_attack,,,,,,,b''
2026-04-14,2495.TW,普安,theme,B,2.0,12.0,4.0,TREND,中段延續中,40.6,-0.85,8.15,,OPEN,short,short_attack,,,,,,,b''
2026-04-14,3017.TW,奇鋐,theme,B,6.0,12.0,2.0,TREND,中段延續中,2305.0,0.87,11.04,,OPEN,short,,,,,,,,b''
2026-04-14,2382.TW,廣達,theme,B,7.0,12.0,2.0,TREND,中段延續中,327.0,-0.93,5.26,,OPEN,short,,,,,,,,b''
2026-04-14,4919.TW,新唐,theme,B,3.0,12.0,0.0,TREND,中段延續中,101.5,1.36,30.77,,OPEN,short,short_attack,,,,,,,b''
2026-04-14,8111.TWO,立碁,theme,A,4.0,12.0,2.0,ACCEL,轉強速度有出來,69.6,2.62,17.76,,OPEN,short,short_attack,,,,,,,b''
2026-04-14,2374.TW,佳能,theme,B,13.0,10.0,0.0,PULLBACK,高檔拉回整理,72.9,1.81,4.03,,OPEN,short,,,,,,,,b''
2026-04-14,3017.TW,奇鋐,theme,B,6.0,12.0,2.0,TREND,中段延續中,2295.0,0.87,11.04,,OPEN,midlong,,,,,,,,b''
2026-04-14,2495.TW,普安,theme,B,2.0,12.0,4.0,TREND,中段延續中,40.3,-0.85,8.15,,OPEN,midlong,,,,,,,,b''
2026-04-14,4919.TW,新唐,theme,B,8.0,12.0,0.0,TREND,中段延續中,98.2,1.36,30.77,,OPEN,midlong,,,,,,,,b''
2026-04-14,3450.TW,聯鈞,theme,X,3.0,12.0,5.0,TREND,中段延續中,319.0,6.2,20.83,,OPEN,midlong,,,,,,,,b''
2026-04-14,2465.TW,麗臺,theme,B,5.0,12.0,0.0,TREND,中段延續中,62.0,0.83,11.55,,OPEN,midlong,,,,,,,,b''
2026-04-14,2308.TW,台達電,core,B,18.0,8.0,3.0,TREND,中段延續中,1765.0,3.14,15.14,,OPEN,short,midlong_core,,,,,,,b''
2026-04-14,2308.TW,台達電,core,B,19.0,8.0,3.0,TREND,中段延續中,1750.0,3.14,15.14,,OPEN,midlong,midlong_core,,,,,,,b''
2026-04-14,3711.TW,日月光投控,core,X,24.0,7.0,5.0,TREND,中段延續中,424.0,2.12,11.32,,OPEN,midlong,midlong_core,,,,,,,b''
2026-04-14,2330.TW,台積電,core,A,21.0,8.0,2.0,"TREND,ACCEL",轉強速度有出來,2055.0,0.73,-0.24,,OPEN,midlong,midlong_core,,,,,,,b''
2026-04-14,3014.TW,聯陽,satellite,B,22.0,8.0,0.0,NONE,還在觀察,120.5,0.41,2.9,,OPEN,midlong,midlong_core,,,,,,,b''
2026-04-14,3035.TW,智原,satellite,B,26.0,6.0,0.0,NONE,還在觀察,153.0,0.33,17.65,,OPEN,midlong,midlong_core,,,,,,,b''
2026-04-14,3057.TW,喬鼎,theme,A,3.0,14.0,4.0,"SURGE,ACCEL,PULLBACK",題材正在發酵,18.75,-3.47,-0.53,,OPEN,short,short_attack,,,,,,,b''
2026-04-14,2465.TW,麗臺,theme,A,4.0,13.0,1.0,"TREND,ACCEL,PULLBACK",轉強速度有出來,60.6,0.83,11.55,,OPEN,short,short_attack,,,,,,,b''
2026-04-14,2356.TW,英業達,theme,A,5.0,13.0,0.0,ACCEL,轉強速度有出來,44.6,1.68,6.17,,OPEN,short,short_attack,,,,,,,b''
2026-04-14,5386.TWO,青雲,theme,B,7.0,12.0,3.0,TREND,中段延續中,363.0,2.2,0.69,,OPEN,short,short_attack,,,,,,,b''
2026-04-14,3450.TW,聯鈞,theme,A,11.0,11.0,3.0,"TREND,ACCEL",轉強速度有出來,314.5,6.2,20.83,,OPEN,short,short_attack,,,,,,,b''
